time,mean_camkii_0.0,std_camkii_0.0,mean_camkii_1e-20,std_camkii_1e-20,mean_camkii_1e-19,std_camkii_1e-19,mean_camkii_1e-18,std_camkii_1e-18,mean_camkii_1e-17,std_camkii_1e-17,mean_camkii_1e-16,std_camkii_1e-16,mean_camkii_1e-15,std_camkii_1e-15,mean_camkii_1e-14,std_camkii_1e-14,mean_camkii_1e-13,std_camkii_1e-13,mean_camkii_1e-12,std_camkii_1e-12
8162,7.025,1.9935834569939632,6.9,2.2891046284519194,6.975,2.1620302958099367,9.325,2.5630792028339657,14.5,2.9916550603303182,17.425,0.7378177281686851,17.25,2.0706279240848655,17.525,0.8058380730643098,17.55,0.6689544080129827,17.55,0.9733961166965894
8282,7.1,2.0469489490458725,6.95,2.2130295976330725,7.225,1.8906017560554629,9.575,2.5287101455089718,14.725,2.889528508251822,17.45,0.8046738469715542,17.3,2.0639767440550307,17.55,0.6689544080129826,17.575,0.6279928343540238,17.55,0.7729812416870158
8402,7.2,2.002498439450079,7.075,2.1492731329451824,7.425,2.0357738086536035,9.5,2.5592967784139455,14.675,2.714659278804617,17.275,0.9483538369195331,17.4,1.7435595774162689,17.625,0.7310095758606723,17.575,0.7031180555212613,17.675,0.6077622890571611
8522,7.2,2.0149441679609885,7.05,2.15580611373101,7.35,2.116010396949883,9.625,2.614263758690006,14.875,2.6569484375877526,17.275,0.7741931283601008,17.425,1.89588369896468,17.525,0.6319612329882268,17.6,0.66332495807108,17.475,0.6319612329882268
8642,7.225,1.96834321194247,7.3,2.147091055358389,7.45,2.1788758569500923,9.775,2.573786121650359,15.025,2.602762955015305,17.425,0.7709571972554633,17.275,2.0974687125199254,17.575,0.5425633603552678,17.575,0.5868347297152753,17.625,0.5332682251925386
8762,7.275,2.144615350126917,7.475,2.073493428974396,7.55,2.1324868112136124,9.9,2.4166091947189146,15.125,2.6569484375877526,17.35,0.6910137480542629,17.375,1.906403682329637,17.55,0.6689544080129827,17.575,0.5868347297152753,17.6,0.58309518948453
8882,7.35,2.1277922830953213,7.575,2.060188098208511,7.65,2.0316249653910043,10.225,2.4948697360784187,15.35,2.6129485260907845,17.475,0.6703543838895959,17.25,2.0706279240848655,17.7,0.5099019513592784,17.65,0.5722761571129799,17.625,0.5782516753110188
9002,7.375,2.1411153635430296,7.55,2.0970216975510767,7.625,2.1057955741239462,10.15,2.485457704327313,15.2,2.609597670139978,17.475,0.7411983540186795,17.325,1.7802738553379924,17.575,0.6666145812986691,17.6,0.7,17.775,0.41758232721225175
9122,7.375,2.1411153635430296,7.525,2.1793060822197505,7.6,2.1307275752662522,10.3,2.3151673805580453,15.425,2.5776685201941696,17.375,0.7644442425710327,17.25,1.4958275301651591,17.625,0.6590713163232034,17.675,0.5651327277728659,17.7,0.5099019513592785
9242,7.525,2.1678041885742356,7.55,2.2017038856303994,7.725,2.1211730245314735,10.25,2.2666053913286275,15.625,2.604683282090166,17.475,0.6319612329882267,17.275,1.532767105596934,17.625,0.6199798383818622,17.575,0.6279928343540236,17.775,0.5695392874947258
